ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2017,2017,0,Total,125804,6291,"Census Tract 135, San Francisco County, CA",14000US06075013500
2016,2016,0,Total,120714,15421,"Census Tract 135, San Francisco County, CA",14000US06075013500
2015,2015,0,Total,109083,16197,"Census Tract 135, San Francisco County, CA",14000US06075013500
2014,2014,0,Total,103618,11409,"Census Tract 135, San Francisco County, CA",14000US06075013500
2013,2013,0,Total,100136,13759,"Census Tract 135, San Francisco County, CA",14000US06075013500
2018,2018,0,Total,99706,17736,"Census Tract 151, San Francisco County, CA",14000US06075015100
2017,2017,0,Total,97059,16981,"Census Tract 151, San Francisco County, CA",14000US06075015100
2016,2016,0,Total,83750,17848,"Census Tract 151, San Francisco County, CA",14000US06075015100
2015,2015,0,Total,82255,25577,"Census Tract 151, San Francisco County, CA",14000US06075015100
2014,2014,0,Total,81902,25518,"Census Tract 151, San Francisco County, CA",14000US06075015100
2013,2013,0,Total,88854,22962,"Census Tract 151, San Francisco County, CA",14000US06075015100
2018,2018,0,Total,91493,15993,"Census Tract 152, San Francisco County, CA",14000US06075015200
2017,2017,0,Total,87969,13491,"Census Tract 152, San Francisco County, CA",14000US06075015200
2016,2016,0,Total,89440,18460,"Census Tract 152, San Francisco County, CA",14000US06075015200
2015,2015,0,Total,91265,17154,"Census Tract 152, San Francisco County, CA",14000US06075015200
2014,2014,0,Total,67036,30044,"Census Tract 152, San Francisco County, CA",14000US06075015200
2013,2013,0,Total,66403,28636,"Census Tract 152, San Francisco County, CA",14000US06075015200
2018,2018,0,Total,141750,24538,"Census Tract 153, San Francisco County, CA",14000US06075015300
2017,2017,0,Total,120833,31126,"Census Tract 153, San Francisco County, CA",14000US06075015300
2016,2016,0,Total,111250,26444,"Census Tract 153, San Francisco County, CA",14000US06075015300
2015,2015,0,Total,100583,18799,"Census Tract 153, San Francisco County, CA",14000US06075015300
2014,2014,0,Total,88462,21747,"Census Tract 153, San Francisco County, CA",14000US06075015300
2013,2013,0,Total,95000,24604,"Census Tract 153, San Francisco County, CA",14000US06075015300
2018,2018,0,Total,125651,16668,"Census Tract 154, San Francisco County, CA",14000US06075015400
2017,2017,0,Total,121116,12333,"Census Tract 154, San Francisco County, CA",14000US06075015400
2016,2016,0,Total,118674,10704,"Census Tract 154, San Francisco County, CA",14000US06075015400
2015,2015,0,Total,112472,9151,"Census Tract 154, San Francisco County, CA",14000US06075015400
2014,2014,0,Total,109449,14932,"Census Tract 154, San Francisco County, CA",14000US06075015400
2013,2013,0,Total,97195,13448,"Census Tract 154, San Francisco County, CA",14000US06075015400
2018,2018,0,Total,64412,30040,"Census Tract 155, San Francisco County, CA",14000US06075015500
2017,2017,0,Total,65536,29959,"Census Tract 155, San Francisco County, CA",14000US06075015500
2016,2016,0,Total,55313,18123,"Census Tract 155, San Francisco County, CA",14000US06075015500
2015,2015,0,Total,63423,19384,"Census Tract 155, San Francisco County, CA",14000US06075015500
2014,2014,0,Total,51870,9656,"Census Tract 155, San Francisco County, CA",14000US06075015500
2013,2013,0,Total,56835,17540,"Census Tract 155, San Francisco County, CA",14000US06075015500
2018,2018,0,Total,95000,17606,"Census Tract 156, San Francisco County, CA",14000US06075015600
2017,2017,0,Total,88083,10055,"Census Tract 156, San Francisco County, CA",14000US06075015600
2016,2016,0,Total,85625,6850,"Census Tract 156, San Francisco County, CA",14000US06075015600
2015,2015,0,Total,85253,6667,"Census Tract 156, San Francisco County, CA",14000US06075015600
2014,2014,0,Total,79815,9893,"Census Tract 156, San Francisco County, CA",14000US06075015600
2013,2013,0,Total,76275,8248,"Census Tract 156, San Francisco County, CA",14000US06075015600
2018,2018,0,Total,116923,33909,"Census Tract 157, San Francisco County, CA",14000US06075015700
2017,2017,0,Total,111181,18545,"Census Tract 157, San Francisco County, CA",14000US06075015700
2016,2016,0,Total,102152,5890,"Census Tract 157, San Francisco County, CA",14000US06075015700
2015,2015,0,Total,88368,13908,"Census Tract 157, San Francisco County, CA",14000US06075015700
2014,2014,0,Total,83793,8238,"Census Tract 157, San Francisco County, CA",14000US06075015700
2013,2013,0,Total,82759,13773,"Census Tract 157, San Francisco County, CA",14000US06075015700
2018,2018,0,Total,76689,23187,"Census Tract 158.01, San Francisco County, CA",14000US06075015801
2017,2017,0,Total,66603,7106,"Census Tract 158.01, San Francisco County, CA",14000US06075015801
2016,2016,0,Total,66698,10992,"Census Tract 158.01, San Francisco County, CA",14000US06075015801
2015,2015,0,Total,71339,16654,"Census Tract 158.01, San Francisco County, CA",14000US06075015801
2014,2014,0,Total,72568,19926,"Census Tract 158.01, San Francisco County, CA",14000US06075015801
2013,2013,0,Total,61500,20175,"Census Tract 158.01, San Francisco County, CA",14000US06075015801
2018,2018,0,Total,132540,26164,"Census Tract 158.02, San Francisco County, CA",14000US06075015802
2017,2017,0,Total,100509,29091,"Census Tract 158.02, San Francisco County, CA",14000US06075015802
2016,2016,0,Total,107143,31151,"Census Tract 158.02, San Francisco County, CA",14000US06075015802
2015,2015,0,Total,81250,23616,"Census Tract 158.02, San Francisco County, CA",14000US06075015802
2014,2014,0,Total,86176,11391,"Census Tract 158.02, San Francisco County, CA",14000US06075015802
2013,2013,0,Total,85484,15706,"Census Tract 158.02, San Francisco County, CA",14000US06075015802
2018,2018,0,Total,79698,17721,"Census Tract 159, San Francisco County, CA",14000US06075015900
2017,2017,0,Total,62731,18617,"Census Tract 159, San Francisco County, CA",14000US06075015900
2016,2016,0,Total,52479,9731,"Census Tract 159, San Francisco County, CA",14000US06075015900
2015,2015,0,Total,44157,15497,"Census Tract 159, San Francisco County, CA",14000US06075015900
